==============================================
BraTS 2D Federated Learning
Job ID:       22487451
Node(s):      gpu-q-28
Workdir:      /home/bk489/federated/federated-thesis
Script:       /home/bk489/federated/federated-thesis/experiments/brats/brats_n_clients.py
Partition dir:/home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/client_data
Global test:  /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/global_test
Results dir:  /home/bk489/federated/federated-thesis/results/brats
Strategy:     fedprox (mu=0.1)
Model:        UNet2D base=16
Fraction:     1.0 | DropPercent: 0.0
Rounds:       50 | LocalEpochs: 30
Batch:        4 | LR: 0.01 | Seed: 42
WeightDecay:  0.0 | NumWorkers: 2
Python:       /home/bk489/.conda/envs/fed/bin/python
Python 3.9.16 | packaged by conda-forge | (main, Feb  1 2023, 21:39:03) 
[GCC 11.3.0]
PyTorch 2.8.0+cu128 CUDA: 12.8 CUDA available: True Device count: 1
Tue Feb 10 23:23:15 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.195.03             Driver Version: 570.195.03     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-80GB          On  |   00000000:81:00.0 Off |                    0 |
| N/A   40C    P0             68W /  500W |       0MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
==============================================

>>> Running FEDPROX (mu=0.1) ...

Using global_test_dir: /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/global_test (180 files)

============================================================
Federated Learning -- FEDPROX
============================================================
Model:          UNet2D (base=16, 482,915 params)
Input channels: 4
Clients:        8
Rounds:         50
Local epochs:   30
Batch size:     4
Learning rate:  0.01
Weight decay:   0.0
Fraction fit:   1.0
Drop percent:   0.0
Proximal mu:    0.1
Device:         cuda
Partition dir:  /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/client_data
============================================================

Client data distribution:
  client_0: train=135  test=15
  client_1: train=295  test=40
  client_2: train=140  test=20
  client_3: train=265  test=30
  client_4: train=180  test=25
  client_5: train=180  test=25
  client_6: train=55  test=10
  client_7: train=65  test=10

    Client 5: loss=1.1862, epochs=30
    Client 1: loss=1.1997, epochs=30
    Client 2: loss=1.1526, epochs=30
    Client 0: loss=1.1163, epochs=30
    Client 4: loss=1.1595, epochs=30
    Client 7: loss=1.3217, epochs=30
    Client 3: loss=1.0237, epochs=30
    Client 6: loss=1.2084, epochs=30
  Round   1/50: Pooled Loss=0.9006, Pooled Mean=0.6166 (WT=0.7797 TC=0.5067 ET=0.5634) | C0 Mean=0.6801 | C1 Mean=0.3112 | C2 Mean=0.2443 | C3 Mean=0.5089 | C4 Mean=0.4426 | C5 Mean=0.3088 | C6 Mean=0.6460 | C7 Mean=0.1239 WorstC Mean=0.1239 [175.3s]
    Client 1: loss=0.7421, epochs=30
    Client 2: loss=0.5660, epochs=30
    Client 5: loss=0.8114, epochs=30
    Client 6: loss=0.5680, epochs=30
    Client 4: loss=0.6521, epochs=30
    Client 0: loss=0.5323, epochs=30
    Client 3: loss=0.4811, epochs=30
    Client 7: loss=0.9634, epochs=30
  Round   2/50: Pooled Loss=0.4886, Pooled Mean=0.7236 (WT=0.8256 TC=0.6516 ET=0.6936) | C0 Mean=0.6884 | C1 Mean=0.4450 | C2 Mean=0.4985 | C3 Mean=0.7097 | C4 Mean=0.4934 | C5 Mean=0.3129 | C6 Mean=0.7420 | C7 Mean=0.1096 WorstC Mean=0.1096 [160.3s]
    Client 0: loss=0.2687, epochs=30
    Client 4: loss=0.3827, epochs=30
    Client 1: loss=0.4688, epochs=30
    Client 5: loss=0.6065, epochs=30
    Client 2: loss=0.2959, epochs=30
    Client 7: loss=0.8140, epochs=30
    Client 3: loss=0.2684, epochs=30
    Client 6: loss=0.2920, epochs=30
  Round   3/50: Pooled Loss=0.4278, Pooled Mean=0.7187 (WT=0.8179 TC=0.6418 ET=0.6962) | C0 Mean=0.6771 | C1 Mean=0.6205 | C2 Mean=0.6332 | C3 Mean=0.6619 | C4 Mean=0.5895 | C5 Mean=0.3630 | C6 Mean=0.6589 | C7 Mean=0.1882 WorstC Mean=0.1882 [163.3s]
    Client 3: loss=0.1947, epochs=30
    Client 1: loss=0.3478, epochs=30
    Client 2: loss=0.2167, epochs=30
    Client 6: loss=0.1938, epochs=30
    Client 7: loss=0.7582, epochs=30
    Client 5: loss=0.5034, epochs=30
    Client 0: loss=0.1787, epochs=30
    Client 4: loss=0.2735, epochs=30
  Round   4/50: Pooled Loss=0.3665, Pooled Mean=0.7664 (WT=0.8435 TC=0.7020 ET=0.7536) | C0 Mean=0.7204 | C1 Mean=0.6817 | C2 Mean=0.5916 | C3 Mean=0.6809 | C4 Mean=0.6743 | C5 Mean=0.4197 | C6 Mean=0.6893 | C7 Mean=0.2063 WorstC Mean=0.2063 [161.5s]
    Client 3: loss=0.1497, epochs=30
    Client 6: loss=0.1476, epochs=30
    Client 2: loss=0.1651, epochs=30
    Client 4: loss=0.2155, epochs=30
    Client 1: loss=0.2696, epochs=30
    Client 5: loss=0.4102, epochs=30
    Client 7: loss=0.6753, epochs=30
    Client 0: loss=0.1383, epochs=30
  Round   5/50: Pooled Loss=0.3331, Pooled Mean=0.7916 (WT=0.8549 TC=0.7409 ET=0.7790) | C0 Mean=0.7346 | C1 Mean=0.7540 | C2 Mean=0.6143 | C3 Mean=0.7080 | C4 Mean=0.7631 | C5 Mean=0.4522 | C6 Mean=0.7170 | C7 Mean=0.2932 WorstC Mean=0.2932 [161.9s]
    Client 0: loss=0.1177, epochs=30
    Client 2: loss=0.1363, epochs=30
    Client 1: loss=0.2250, epochs=30
    Client 7: loss=0.6029, epochs=30
    Client 4: loss=0.1812, epochs=30
    Client 3: loss=0.1309, epochs=30
    Client 6: loss=0.1251, epochs=30
    Client 5: loss=0.3515, epochs=30
  Round   6/50: Pooled Loss=0.3189, Pooled Mean=0.7982 (WT=0.8568 TC=0.7550 ET=0.7828) | C0 Mean=0.7635 | C1 Mean=0.7780 | C2 Mean=0.6218 | C3 Mean=0.7284 | C4 Mean=0.7969 | C5 Mean=0.4627 | C6 Mean=0.7806 | C7 Mean=0.3474 WorstC Mean=0.3474 [162.0s]
    Client 5: loss=0.3176, epochs=30
    Client 7: loss=0.5466, epochs=30
    Client 1: loss=0.2029, epochs=30
    Client 0: loss=0.1036, epochs=30
    Client 2: loss=0.1182, epochs=30
    Client 3: loss=0.1196, epochs=30
    Client 6: loss=0.1114, epochs=30
    Client 4: loss=0.1513, epochs=30
  Round   7/50: Pooled Loss=0.3061, Pooled Mean=0.8084 (WT=0.8677 TC=0.7698 ET=0.7877) | C0 Mean=0.7978 | C1 Mean=0.7844 | C2 Mean=0.6223 | C3 Mean=0.7363 | C4 Mean=0.8161 | C5 Mean=0.4957 | C6 Mean=0.7889 | C7 Mean=0.3852 WorstC Mean=0.3852 [162.1s]
    Client 4: loss=0.1328, epochs=30
    Client 0: loss=0.0934, epochs=30
    Client 3: loss=0.1115, epochs=30
    Client 2: loss=0.1094, epochs=30
    Client 6: loss=0.1007, epochs=30
    Client 1: loss=0.1666, epochs=30
    Client 5: loss=0.2835, epochs=30
    Client 7: loss=0.4955, epochs=30
  Round   8/50: Pooled Loss=0.3073, Pooled Mean=0.8045 (WT=0.8622 TC=0.7685 ET=0.7828) | C0 Mean=0.7834 | C1 Mean=0.7914 | C2 Mean=0.6333 | C3 Mean=0.7379 | C4 Mean=0.8278 | C5 Mean=0.4894 | C6 Mean=0.7943 | C7 Mean=0.3936 WorstC Mean=0.3936 [161.9s]
    Client 3: loss=0.1003, epochs=30
    Client 2: loss=0.1006, epochs=30
    Client 7: loss=0.4856, epochs=30
    Client 0: loss=0.0880, epochs=30
    Client 6: loss=0.0972, epochs=30
    Client 4: loss=0.1180, epochs=30
    Client 5: loss=0.2513, epochs=30
    Client 1: loss=0.1516, epochs=30
  Round   9/50: Pooled Loss=0.3150, Pooled Mean=0.7963 (WT=0.8627 TC=0.7656 ET=0.7605) | C0 Mean=0.7758 | C1 Mean=0.7743 | C2 Mean=0.6466 | C3 Mean=0.7277 | C4 Mean=0.8260 | C5 Mean=0.4799 | C6 Mean=0.8000 | C7 Mean=0.4025 WorstC Mean=0.4025 [162.0s]
    Client 4: loss=0.1111, epochs=30
    Client 7: loss=0.4596, epochs=30
    Client 6: loss=0.0905, epochs=30
    Client 5: loss=0.2272, epochs=30
    Client 1: loss=0.1409, epochs=30
    Client 3: loss=0.0943, epochs=30
    Client 2: loss=0.0952, epochs=30
    Client 0: loss=0.0828, epochs=30
  Round  10/50: Pooled Loss=0.3129, Pooled Mean=0.7995 (WT=0.8676 TC=0.7717 ET=0.7594) | C0 Mean=0.7867 | C1 Mean=0.7753 | C2 Mean=0.6474 | C3 Mean=0.7228 | C4 Mean=0.8283 | C5 Mean=0.4880 | C6 Mean=0.7830 | C7 Mean=0.4129 WorstC Mean=0.4129 [162.4s]
    Client 4: loss=0.1024, epochs=30
    Client 1: loss=0.1306, epochs=30
    Client 3: loss=0.0902, epochs=30
    Client 6: loss=0.0876, epochs=30
    Client 5: loss=0.2133, epochs=30
    Client 0: loss=0.0782, epochs=30
    Client 2: loss=0.0905, epochs=30
