==============================================
BraTS 2D Federated Learning
Job ID:       22491847
Node(s):      gpu-q-16
Workdir:      /home/bk489/federated/federated-thesis
Script:       /home/bk489/federated/federated-thesis/experiments/brats/brats_n_clients.py
Partition dir:/home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/client_data
Global test:  /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/global_test
Results dir:  /home/bk489/federated/federated-thesis/results/brats
Strategy:     fedprox (mu=0.4)
Model:        UNet2D base=16
Fraction:     1.0 | DropPercent: 0.0
Rounds:       50 | LocalEpochs: 30
Batch:        4 | LR: 0.01 | Seed: 42
WeightDecay:  0.0 | NumWorkers: 2
Python:       /home/bk489/.conda/envs/fed/bin/python
Python 3.9.16 | packaged by conda-forge | (main, Feb  1 2023, 21:39:03) 
[GCC 11.3.0]
PyTorch 2.8.0+cu128 CUDA: 12.8 CUDA available: True Device count: 1
Wed Feb 11 00:54:38 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.195.03             Driver Version: 570.195.03     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-80GB          On  |   00000000:01:00.0 Off |                    0 |
| N/A   39C    P0             64W /  500W |       0MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
==============================================

>>> Running FEDPROX (mu=0.4) ...

Using global_test_dir: /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/global_test (180 files)

============================================================
Federated Learning -- FEDPROX
============================================================
Model:          UNet2D (base=16, 482,915 params)
Input channels: 4
Clients:        8
Rounds:         50
Local epochs:   30
Batch size:     4
Learning rate:  0.01
Weight decay:   0.0
Fraction fit:   1.0
Drop percent:   0.0
Proximal mu:    0.4
Device:         cuda
Partition dir:  /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/client_data
============================================================

Client data distribution:
  client_0: train=135  test=15
  client_1: train=295  test=40
  client_2: train=140  test=20
  client_3: train=265  test=30
  client_4: train=180  test=25
  client_5: train=180  test=25
  client_6: train=55  test=10
  client_7: train=65  test=10

    Client 5: loss=1.3526, epochs=30
    Client 1: loss=1.3899, epochs=30
    Client 2: loss=1.3612, epochs=30
    Client 0: loss=1.3377, epochs=30
    Client 4: loss=1.3568, epochs=30
    Client 7: loss=1.4159, epochs=30
    Client 3: loss=1.3398, epochs=30
    Client 6: loss=1.3318, epochs=30
  Round   1/50: Pooled Loss=1.2312, Pooled Mean=0.3912 (WT=0.6633 TC=0.0641 ET=0.4461) | C0 Mean=0.4113 | C1 Mean=0.2201 | C2 Mean=0.2104 | C3 Mean=0.2948 | C4 Mean=0.2879 | C5 Mean=0.2139 | C6 Mean=0.3919 | C7 Mean=0.0896 WorstC Mean=0.0896 [177.3s]
    Client 1: loss=1.1543, epochs=30
    Client 2: loss=1.0798, epochs=30
    Client 5: loss=1.1158, epochs=30
    Client 6: loss=1.0165, epochs=30
    Client 4: loss=1.0967, epochs=30
    Client 0: loss=1.0469, epochs=30
    Client 3: loss=1.0475, epochs=30
    Client 7: loss=1.1808, epochs=30
  Round   2/50: Pooled Loss=0.9895, Pooled Mean=0.6109 (WT=0.7679 TC=0.5273 ET=0.5375) | C0 Mean=0.6098 | C1 Mean=0.3156 | C2 Mean=0.2993 | C3 Mean=0.5239 | C4 Mean=0.4211 | C5 Mean=0.2925 | C6 Mean=0.6578 | C7 Mean=0.1000 WorstC Mean=0.1000 [163.1s]
    Client 0: loss=0.8154, epochs=30
    Client 4: loss=0.9113, epochs=30
    Client 1: loss=0.9979, epochs=30
    Client 5: loss=0.9715, epochs=30
    Client 2: loss=0.8552, epochs=30
    Client 7: loss=1.0524, epochs=30
    Client 3: loss=0.8106, epochs=30
    Client 6: loss=0.7784, epochs=30
  Round   3/50: Pooled Loss=0.7878, Pooled Mean=0.6850 (WT=0.8130 TC=0.6590 ET=0.5831) | C0 Mean=0.7479 | C1 Mean=0.3376 | C2 Mean=0.3084 | C3 Mean=0.6518 | C4 Mean=0.4600 | C5 Mean=0.3135 | C6 Mean=0.7463 | C7 Mean=0.1318 WorstC Mean=0.1318 [164.9s]
    Client 3: loss=0.6035, epochs=30
    Client 1: loss=0.8425, epochs=30
    Client 2: loss=0.6510, epochs=30
    Client 6: loss=0.5780, epochs=30
    Client 7: loss=0.9608, epochs=30
    Client 5: loss=0.8493, epochs=30
    Client 0: loss=0.6105, epochs=30
    Client 4: loss=0.7239, epochs=30
  Round   4/50: Pooled Loss=0.6235, Pooled Mean=0.6510 (WT=0.8482 TC=0.6306 ET=0.4743) | C0 Mean=0.6663 | C1 Mean=0.4087 | C2 Mean=0.4046 | C3 Mean=0.6341 | C4 Mean=0.4797 | C5 Mean=0.3331 | C6 Mean=0.6025 | C7 Mean=0.1360 WorstC Mean=0.1360 [162.7s]
